Country,Wave,A170,A173,B008,F034,F050,E217,E220,E046,E035,C037
Albania,4,5.165330661,6.002072539,1.562570462,1.372774869,0.917277487,NA,NA,5.823529412,5.959390863,2.036326942
Albania,3,4.765357503,4.732012513,1.570608496,1.59937565,0.936983471,NA,NA,5.122129436,4.880041365,NA
Algeria,4,5.674546887,6.655258765,1.965980304,1.777310924,0.997659906,NA,NA,NA,8.088818398,NA
Algeria,6,6.30102916,6.664944014,1.708163265,1.165406427,1,7.623978202,5.339370829,NA,6.548824593,NA
Andorra,5,7.13559322,7.724550898,1.229524772,1.673673674,NA,6.515453639,6.157894737,NA,6.143574297,2.97005988
Azerbaijan,6,6.740518962,7.273453094,1.671013039,1.725548902,0.99500998,8.264471058,4.998003992,NA,5.888223553,NA
Azerbaijan,3,5.392766174,5.611111111,1.56002265,1.126448894,0.977937404,NA,NA,3.76703645,5.897222222,NA
Argentina,4,7.298895899,7.393415638,1.710997442,1.186938776,0.962875197,NA,NA,5.276182432,4.899112187,2.277557494
Argentina,2,7.253024194,7.254149378,NA,1.305931322,0.921187308,NA,NA,5.295116773,7.005154639,NA
Argentina,5,7.700502513,7.857142857,1.306034483,1.227557411,NA,NA,NA,NA,5.328542094,2.123092574
Argentina,1,6.770020534,7.050732807,NA,1.383116883,0.887353879,NA,NA,NA,NA,NA
Argentina,6,7.476470588,7.377601586,1.4312026,1.391393443,0.900497512,7.210898083,6.339776195,NA,4.746680286,NA
Argentina,3,6.926579926,7.090384615,1.704612365,1.20398482,0.952112676,NA,NA,5.23923445,5.955534532,NA
Australia,3,7.582638548,7.58242843,1.419909045,1.461997019,0.801041667,NA,NA,5.071251856,5.595061728,NA
Australia,6,7.382352941,7.806716929,1.394085282,1.699042408,0.675190048,7.569863014,4.090909091,NA,4.732550104,NA
Australia,1,7.894779772,7.101485149,NA,1.464941569,0.849781659,NA,NA,NA,NA,NA
Australia,5,7.304255319,7.687766714,1.326545455,1.587731812,NA,6.84807418,5.245538901,NA,5.668583753,2.712536023
Bahrain,6,6.794314381,6.876677852,1.516624041,1.222793488,NA,6.822445561,6.670568562,NA,6.462673611,NA
Bangladesh,4,5.7775524,5.652950311,1.459694989,1.031295488,0.994645248,NA,NA,8.672648959,7.560283688,1.577732519
Bangladesh,3,6.406145625,6.323358271,1.582755966,1.161137441,0.986184211,NA,NA,8.093103448,7.106500692,NA
Armenia,6,5.226277372,6.360113422,1.580160321,1.110395584,0.967771639,7.859480269,6.733887734,NA,5.774283071,NA
Armenia,3,4.318250377,5.658498436,1.574725909,1.297705652,0.856443719,NA,NA,4.94182972,6.396018858,NA
Bosnia,4,5.768781302,6.342281879,1.682332463,1.314042553,0.880444065,NA,NA,6.749790092,6.103015075,2.33418151
Brazil,6,7.850977748,7.670756646,1.358918129,1.183687457,0.987854251,6.969273743,3.971811135,NA,5.069272977,NA
Brazil,2,7.368361582,7.252565564,NA,1.137133183,0.984788732,NA,NA,5.21646517,5.859537572,NA
Brazil,5,7.644147157,7.728187919,1.414804469,1.127860027,NA,6.74341661,3.949494949,NA,5.675167785,2.504691689
Bulgaria,3,4.660359508,5.250254323,1.637434555,1.532374101,0.671563484,NA,NA,5.305555556,5.396097561,NA
Bulgaria,5,5.220480669,5.802030457,1.565680473,1.419175028,NA,6.884073673,7.049162011,NA,5.673758865,2.078838174
Belarus,2,5.51840796,NA,NA,1.678615575,0.426589595,NA,NA,4.93954918,7.347870183,NA
Belarus,3,4.348455598,5.198989899,1.491894913,1.343927355,0.777656079,NA,NA,4.369120654,6.625698324,NA
Belarus,6,5.800130634,6.204693611,1.458500669,1.423051735,0.862706271,8.020901372,5.56843484,NA,4.884313725,NA
Canada,5,7.746407047,7.62763466,1.357001972,1.357650403,NA,7.080803363,6.307618591,NA,5.644244434,2.850844278
Canada,4,7.849144635,7.704781705,1.440108401,1.267405063,0.909822866,NA,NA,5.452780693,5.335945664,2.694154489
Chile,4,7.119865884,7.176222597,1.56173913,1.301369863,0.969620253,NA,NA,5.37008547,4.021043771,2.318914334
Chile,2,7.554144385,7.077284946,NA,1.262829404,0.949460916,NA,NA,5.925876011,6.000673854,NA
Chile,6,7.269230769,7.182459677,1.324524313,1.521287643,0.925204918,7.006362672,6.959651036,NA,3.50101626,NA
Chile,3,6.916750251,7.159798995,1.543298969,1.260780287,0.980827447,NA,NA,5.836923077,5.205410822,NA
Chile,5,7.243951613,7.304303279,1.343042071,1.408163265,NA,6.72801636,7.447530864,NA,4.782608696,2.511410788
China,3,6.833444816,6.804407713,1.506666667,NA,NA,NA,NA,5.162447257,5.042263122,NA
China,5,6.759938049,7.229714912,1.416829746,1.957370313,NA,8.16676351,5.754843517,NA,5.776101388,2.276227679
China,6,6.858348135,7.13699262,1.3712696,2.146925859,0.196640316,8.325732899,5.519496855,NA,4.451643192,NA
China,2,7.292168675,7.045317221,NA,2.388421053,NA,NA,NA,3.472616633,7.870351759,NA
China,4,6.529767911,7.148663102,1.466588511,2.110752688,NA,NA,NA,NA,6.262926293,2.319706499
Taiwan,3,6.560411311,7.430967742,1.46866485,1.264705882,0.764204545,NA,NA,4.154046997,6.05751634,NA
Taiwan,5,6.662591687,7.397226754,1.551639344,1.755519215,NA,7.32022932,6.781998348,NA,6.849550286,NA
Taiwan,6,6.885690789,7.488352745,1.381112985,1.702003339,0.904255319,7.541666667,5.630052724,NA,5.871729958,NA
Colombia,3,8.305796136,7.887850467,NA,1.155033557,0.990975936,NA,NA,8.209893048,6.202138323,NA
Colombia,6,8.388227513,8.159920372,1.322147651,1.179333333,0.986092715,6.941411451,6.859239493,NA,5.030728123,NA
Colombia,5,8.307819748,8.043970686,1.318196884,1.205561072,NA,7.412312812,7.337765957,NA,5.500497843,NA
Croatia,3,6.182885906,6.486005089,1.530232558,1.352380952,0.80847308,NA,NA,5.416666667,5.002564103,NA
Cyprus (G),5,7.345714286,7.443809524,1.386538462,1.422306959,NA,3.103908484,4.130725191,NA,5.272466539,2.248328558
Cyprus (G),6,7.004028197,7.574874372,1.615071283,1.3,0.967644085,7.637096774,5.712244898,NA,3.495943205,NA
Czech Rep.,2,6.364718615,6.026002167,NA,1.756229686,NA,NA,NA,5.230769231,8.108225108,NA
Czech Rep.,3,6.394736842,6.502702703,1.578301887,1.675502742,0.423551757,NA,NA,4.524861878,6.203014184,NA
Dominican Rep.,3,7.126829268,7.372839506,1.365284974,1.270935961,0.927360775,NA,NA,6.185096154,7.701456311,NA
Ecuador,6,7.918469218,7.861666667,1.391377853,1.297748123,0.972545757,7.1025,7.150125104,NA,5.545454545,NA
El Salvador,3,7.495524817,7.496253122,1.163682864,1.315156375,0.9944,NA,NA,6.046875,6.827350427,NA
Ethiopia,5,4.993288591,6.168561873,1.769774011,1.192524683,NA,8.118483412,3.578983051,NA,6.613774477,1.802939212
Estonia,6,6.200392927,6.308658295,1.500351865,1.743944637,0.505295008,7.733860343,5.042807018,NA,3.75486904,NA
Estonia,3,4.997058824,5.984142716,1.634533898,1.69047619,0.517699115,NA,NA,4.920282543,5.519,NA
Finland,3,7.778229908,7.671414039,1.628479657,1.459227468,0.813483146,NA,NA,5.0093361,4.158436214,NA
Finland,1,7.905811623,7.653225806,NA,1.479700855,NA,NA,NA,NA,NA,NA
Finland,5,7.839250493,7.449704142,1.355,1.426977688,NA,6.595427435,5.745694022,NA,4.98015873,2.895153314
France,5,6.864,6.665665666,1.501557632,1.700707786,NA,NA,NA,NA,5.043043043,NA
Georgia,5,4.95596206,6.400852878,1.467552776,1.036560596,NA,7.573381295,5.961275626,NA,6.874368231,2.374912404
Georgia,6,5.446666667,6.241146712,1.406996587,1.03,0.993333333,7.600519931,5.280036134,NA,6.121107266,NA
Georgia,3,4.680520781,6.167689162,1.36036036,1.11831863,0.931632653,NA,NA,4.369059656,7.59887583,NA
Palestine,6,5.622110553,6.858870968,1.530825496,1.27420999,NA,7.595482546,4.658713693,NA,6.007223942,NA
Germany,6,7.393049437,6.967108493,1.635771543,1.737737738,0.516927741,7.641063516,4.296221662,NA,3.805143422,NA
Germany,5,6.922926829,6.727897839,1.763742072,1.74974359,NA,7.122650841,5.008064516,NA,4.395716471,2.857071464
Germany,3,6.931784478,6.929102628,1.73553719,1.701576004,0.514241326,NA,NA,5.509863429,4.946819085,NA
Ghana,5,6.119764398,7.09486166,1.525352113,1.090013141,NA,8.284681131,6.333554377,NA,7.763089005,2.65942029
Ghana,6,6.422036082,7.43492268,1.514175258,1.028994845,0.996778351,7.75128866,5.972938144,NA,6.887886598,NA
Guatemala,5,7.950950951,7.48040201,1.422064777,1.285714286,NA,NA,NA,NA,7.072144289,2.475227503
Hong Kong,6,6.849548646,6.874874875,1.455911824,2.353768844,0.58408862,7.276553106,6.024120603,NA,5.967839196,NA
Hong Kong,5,6.408360129,6.317704123,1.595800525,1.781074579,NA,NA,NA,NA,4.777869529,2.87712207
Hungary,3,5.860896445,6.368338558,1.7888,1.509404389,0.661835749,NA,NA,4.434920635,3.800940439,NA
Hungary,5,5.894211577,5.845309381,1.557068063,1.580512821,NA,7.046,5.720464135,NA,4.561368209,2.437311936
Hungary,1,6.927234927,6.829424307,NA,1.709631728,0.556331878,NA,NA,NA,NA,NA
India,4,5.141919192,5.652275379,1.714486639,1.231216931,0.947341772,NA,NA,3.626883665,4.171817058,1.962173681
India,5,5.795698925,6.730103806,1.600421348,1.245717345,NA,7.889372281,6.788187373,NA,4.785149117,1.925152749
India,3,6.530909091,6.606150207,1.796992481,1.244721169,0.944554455,NA,NA,4.216707022,3.654618474,NA
India,2,6.700121902,6.409774436,NA,1.181670061,0.935794543,NA,NA,4.404156064,5.987298899,NA
India,6,5.006957622,5.249841872,1.751298701,1.322949777,0.770554493,5.702426564,5.570607029,NA,5.457305503,NA
Indonesia,4,6.957575758,7.245502646,2.302690583,1.154501217,0.999,NA,NA,NA,7.178571429,NA
Indonesia,5,6.908709339,7.385814078,2.051987768,1.157103064,NA,8.061458333,5.160685592,NA,7.368161926,2.156345178
Iran,5,6.427071616,7.06358164,1.526496378,1.164532402,NA,NA,NA,NA,4.169504351,NA
Iran,4,6.376996805,6.617536534,1.744514871,1.065148064,0.994440032,NA,NA,NA,5.663874346,NA
Iraq,5,4.461797753,5.411854685,NA,1.479575805,NA,NA,NA,NA,4.909320962,NA
Iraq,6,5.914357683,6.527591973,1.615120275,1.168478261,0.995,7.856302521,4.019930676,NA,5.305982906,NA
Iraq,4,5.227096774,5.911397849,NA,1.133451171,0.998264642,NA,NA,NA,5.424516129,NA
Israel,4,7.02605042,NA,1.730316742,NA,NA,NA,NA,NA,3.770657673,2.290186125
Italy,5,6.887673956,6.335699797,1.468680089,1.146366428,NA,6.317907445,6.11954262,NA,5.937183384,2.337361531
Japan,2,6.526261586,5.472747497,NA,1.851941748,0.64532872,NA,NA,4.09453303,5.692216981,NA
Japan,4,6.484042553,5.997667185,1.691410392,1.873524452,0.525909592,NA,NA,NA,5.717948718,2.619622642
Japan,1,6.579316389,5.541832669,NA,1.852380952,0.62,NA,NA,NA,NA,NA
Japan,5,6.990740741,6.075654704,1.594666667,1.894572025,NA,6.596613546,5.219912473,NA,6.146601942,2.632993513
Japan,3,6.608357629,5.733870968,1.67601683,1.88417787,0.573033708,NA,NA,4.158659218,5.452256034,NA
Japan,6,6.911801764,5.755226481,1.806095979,1.883291771,0.593099346,7.483022477,4.397583745,NA,5.198741007,NA
Kazakhstan,6,7.254666667,7.037333333,1.492,1.437333333,0.9,8.154,5.056666667,NA,5.339333333,NA
Jordan,4,5.601151316,7.169421488,1.501303215,1.137531069,0.997542998,NA,NA,NA,7.264248705,NA
Jordan,5,7.202172097,7.687973087,1.45858762,1.09,NA,8.645383952,4.726169844,NA,6.969325153,2.070578231
Jordan,6,6.61,7.265833333,1.636363636,1.193979933,1,7.672803347,5.688607595,NA,7.145363409,NA
South Korea,2,6.685970636,7.527302363,NA,NA,NA,NA,NA,3.948487326,5.147249191,NA
South Korea,3,NA,NA,1.386111111,NA,NA,NA,NA,5.067524116,6.672552167,NA
South Korea,1,5.334750266,5.099671413,NA,NA,0.603524229,NA,NA,NA,NA,NA
South Korea,6,6.61059714,6.75083612,1.628620102,1.955349621,0.537300922,7.362646566,5.667785235,NA,6.3893066,NA
South Korea,4,6.213981245,7.140583554,1.585657371,2.005008347,NA,NA,NA,NA,6.545075125,2.206955047
South Korea,5,6.390142022,6.7975,1.756892231,1.944862155,NA,6.778982485,5.833889816,NA,6.587155963,2.350833333
Kuwait,6,7.209320695,7.964511041,1.750877193,1.317636986,NA,8.339952343,5.709443099,NA,6.567823344,NA
Kyrgyzstan,6,6.963087248,7.377333333,1.385359116,1.096128171,0.965217391,7.644,5.668449198,NA,6.116232465,NA
Kyrgyzstan,4,6.482262704,7.064485082,1.521994135,1.274682307,0.95,NA,NA,NA,5.44015444,2.63030888
Lebanon,6,6.503772003,6.968227425,1.566972477,1.372940156,0.9875,6.901666667,5.7475,NA,5.95025729,NA
Latvia,3,4.898319328,5.56185567,1.711131555,1.379432624,0.73583181,NA,NA,4.788478074,6.467866324,NA
Libya,6,7.260890152,7.215930902,1.475869227,1.228915663,0.997167139,9.120076849,4.507097406,NA,6.660591133,NA
Lithuania,3,4.986947791,6.063589744,1.678339818,1.174788136,0.859976663,NA,NA,4.563365282,5.234151329,NA
Malaysia,6,7.133846154,7.500769231,1.306153846,1.471538462,0.983846154,7.849230769,5.404615385,NA,6.66,NA
Malaysia,5,6.8375,7.309741882,1.62823726,1.13283208,NA,7.07743547,6.151540383,NA,6.662781016,2.200666112
Mali,5,6.092307692,6.12281926,1.543672014,1.027834352,NA,7.57760989,6.074074074,NA,7.534626039,2.123489933
Mexico,3,7.536648093,7.482668977,1.597098737,1.440559441,0.937177281,NA,NA,5.76142355,5.876029476,NA
Mexico,4,8.143426295,8.218194741,1.51988218,1.253012048,0.978431373,NA,NA,5.780363636,5.130526316,2.656081081
Mexico,6,8.5125,8.44198895,1.373401535,1.277526395,0.938438438,7.329311212,7.062405637,NA,5.364551863,NA
Mexico,1,7.964577657,7.560457516,NA,1.23242301,0.981277533,NA,NA,NA,NA,NA
Mexico,2,7.410832232,7.26449034,NA,1.27628866,0.931080186,NA,NA,5.445117845,5.980952381,NA
Mexico,5,8.226851852,8.382978723,1.381153305,1.275306254,NA,7.377320955,7.068456376,NA,6.112441783,2.744778068
Moldova,3,3.725050916,5.781380753,1.400222965,1.196016771,0.905882353,NA,NA,4.77920686,7.030271399,NA
Moldova,4,4.557830092,6.048780488,1.466019417,1.099260824,0.961618257,NA,NA,5.586206897,6.710239651,2.576604555
Moldova,5,5.450528338,6.910404624,1.415169661,1.169291339,NA,6.924212598,6.674780915,NA,5.802176063,2.53506244
Morocco,4,5.861710631,6.126945127,1.707846411,NA,NA,NA,NA,NA,7.402129402,1.370489174
Morocco,6,5.94458653,6.176470588,1.419421488,1.109810981,0.999165972,7.856995885,4.972584856,NA,4.995337995,NA
Morocco,5,5.25229741,5.297046414,1.623268698,1.081911263,NA,6.491106719,4.482124617,NA,5.348085106,2.009298394
Netherlands,5,7.721639657,6.625478927,1.54396728,1.497326203,NA,NA,NA,NA,5.629701061,NA
Netherlands,6,7.492561105,6.896053363,1.547937246,1.651556526,0.480169223,7.376919005,3.861831657,NA,5.473278237,NA
New Zealand,6,7.648974668,7.797794118,1.475073314,1.6171875,0.706314244,6.819393939,4.909090909,NA,5.161989796,NA
New Zealand,5,7.892125135,7.911406423,1.34965035,1.571925754,NA,NA,NA,NA,5.427777778,NA
New Zealand,3,7.701365188,7.835664336,1.496432212,1.53432282,0.79253112,NA,NA,5.200720072,5.336888889,NA
Nigeria,3,6.591754651,6.929663609,1.675791734,1.069458631,0.992982456,NA,NA,4.725064599,6.776519053,NA
Nigeria,6,6.262080728,7.179079022,1.656623081,1.043206367,0.993746447,7.587265492,6.185332575,NA,6.55884025,NA
Nigeria,2,6.585757272,6.660606061,NA,1.083594566,1,NA,NA,5.392675483,7.659296482,NA
Nigeria,4,6.8743818,7.065638986,1.543975597,1.034739454,0.996534653,NA,NA,NA,6.2487636,NA
Norway,3,7.658035714,7.178890877,1.41234347,1.570151921,0.687910028,NA,NA,5.58125,5.26916221,NA
Norway,5,7.955034213,7.709519136,1.246791708,1.654832347,NA,6.543670265,3.925889328,NA,5.073746313,2.644400786
Pakistan,6,7.478333333,7.296666667,1.549069374,1.0025,1,7.919191919,5.225671141,NA,6.871666667,NA
Pakistan,4,4.852923804,4.676913015,1.984582669,1.092592593,1,NA,NA,NA,3.826146475,NA
Pakistan,3,NA,NA,1.502881844,NA,1,NA,NA,NA,NA,NA
Peru,5,7.024832215,7.131704005,1.361368496,1.18988219,NA,6.391672548,6.401146132,NA,7.479488904,2.42244898
Peru,4,6.440268456,7.233378562,1.4623813,1.123549488,0.984605087,NA,NA,NA,7.515846258,2.429530201
Peru,6,7.134328358,7.469301934,1.337765957,1.175513699,0.979201331,6.863915716,6.327753304,NA,5.73362069,NA
Peru,3,6.361880772,6.846356453,1.620657277,1.185087719,0.97993311,NA,NA,5.920863309,6.628670121,NA
Philippines,6,7.335,7.321666667,1.365771812,1.189482471,0.995833333,7.168208579,5.638818565,NA,6.36,NA
Philippines,4,6.651666667,6.795644891,1.371603856,1.211764706,0.992487479,NA,NA,NA,6.556856187,1.978315263
Philippines,3,6.839866555,7.040033361,1.318377912,1.162343096,0.997495826,NA,NA,5.456686291,6,NA
Poland,5,7.016177958,6.562955255,1.614074915,1.074226804,NA,6.909751037,6.191304348,NA,6.781083953,2.40376569
Poland,6,7.060103627,6.654411765,1.643015521,1.170031881,0.947593583,7.635881104,4.861142217,NA,6.322234157,NA
Poland,2,6.639008621,6.401337793,NA,NA,NA,NA,NA,5.502883506,7.940087146,NA
Poland,3,6.421190893,NA,1.553147575,1.080428954,NA,NA,NA,5.028846154,6.710909091,NA
Puerto Rico,3,8.099309154,8.290909091,1.393238434,1.146828844,0.993079585,NA,NA,5.946227233,6.233595801,NA
Puerto Rico,4,8.493723849,8.273361227,1.464387464,1.180535966,0.991620112,NA,NA,6.061340942,7.481843575,2.384291725
Qatar,6,8.013220019,7.9536862,1.359539789,1.069063387,NA,8.814393939,4.439163498,NA,6.801895735,NA
Romania,5,5.75331725,7.637231504,1.499690402,1.071305348,NA,7.692501575,6.717532468,NA,4.66313933,2.258487195
Romania,6,6.64295302,7.880566802,1.64158978,1.166325835,0.95991707,7.632478632,6.055797101,NA,6.054370268,NA
Romania,3,4.859805511,6.271272115,1.530082988,1.178938356,0.9678511,NA,NA,5.324255319,6.283670034,NA
Russia,5,6.148313492,7.101010101,1.495672245,1.318308292,NA,NA,NA,NA,6.4,NA
Russia,2,5.37486911,6.234877384,NA,1.511551155,0.437896071,NA,NA,4.471327144,6.993692661,NA
Russia,6,6.126977688,5.907795474,1.491570541,1.47266881,0.827679783,7.769563338,5.804,NA,3.351572598,NA
Russia,3,4.45314824,5.399375975,1.486119679,1.40349947,0.686066032,NA,NA,4.11005291,6.464212679,NA
Rwanda,5,4.965402528,6.518468771,1.408594816,1.058627582,NA,7.46676514,6.578431373,NA,5.970945946,2.283031522
Rwanda,6,6.467583497,6.848068107,2.140798952,1.048461035,0.979043877,8.717747217,5.297314997,NA,4.267845449,NA
Saudi Arabia,4,7.281793842,6.604209097,1.604412924,1.295722714,0.99865501,NA,NA,NA,6.717096336,NA
Singapore,4,7.238095238,7.247682119,1.697439353,NA,0.9270763,NA,NA,NA,6.956810631,2.409694555
Singapore,6,6.97108067,6.783756345,1.601217656,1.421811887,0.822335025,7.623225152,5.922374429,NA,5.734010152,NA
Slovakia,2,6.151187905,5.991341991,NA,1.402150538,NA,NA,NA,5.282937365,6.739224138,NA
Slovakia,3,6.066788655,6.379699248,1.62944664,1.260456274,0.815944882,NA,NA,4.62405303,5.5722274,NA
Viet Nam,5,7.094466937,7.061891516,1.544947735,1.844155844,NA,8.379694019,4.977002967,NA,5.98419244,1.854643338
Viet Nam,4,6.517137097,7.49235474,1.468449198,1.740232313,0.188235294,NA,NA,NA,6.329787234,2.249490835
Slovenia,5,7.243949661,7.488235294,1.511941848,1.372677596,NA,6.655721393,4.736514523,NA,4.688247012,2.716403162
Slovenia,3,6.463,6.892785571,1.571129707,1.385427666,0.643378519,NA,NA,4.798969072,4.484422111,NA
Slovenia,6,7.351555137,7.877819549,1.604950495,1.452620968,0.645726056,7.23255814,3.622398414,NA,3.477011494,NA
South Africa,5,7.200537454,7.807457627,1.706652126,1.179513532,NA,7.562258857,7.06254417,NA,5.666097061,2.519810362
South Africa,6,6.678216416,7.175358166,1.639195695,1.22883036,0.983338121,7.431851206,6.856973645,NA,6.0546875,NA
South Africa,1,6.786401539,6.600556715,NA,1.297036527,0.981132075,NA,NA,NA,NA,NA
South Africa,4,6.313188648,6.887102178,1.669448476,1.169346562,0.984233479,NA,NA,5.665087957,5.419549882,2.525297114
South Africa,2,6.724406528,7.059746079,NA,1.169283799,0.979096678,NA,NA,5.825786646,5.733358405,NA
South Africa,3,6.083020157,6.562261533,1.731779504,1.181055575,0.989350739,NA,NA,5.368661972,5.058437068,NA
Zimbabwe,4,3.945,5.770854271,1.667010309,1.128803245,0.993981946,NA,NA,5.649442756,6.839034205,2.43718593
Zimbabwe,6,6.041333333,6.66,1.625333333,1.078,0.994666667,7.416666667,5.346,NA,6.977333333,NA
Spain,4,6.976763485,6.718103448,1.540315107,1.418150975,0.833916084,NA,NA,NA,5.062871708,2.71090448
Spain,5,7.313807531,6.878919861,1.385416667,1.620926244,NA,7.215938303,6.186067019,NA,5.652542373,2.857635893
Spain,2,7.145430287,6.807427785,NA,1.336134454,0.856633381,NA,NA,5.691458027,5.024509804,NA
Spain,6,6.770547945,6.945121951,1.640249332,1.669250646,0.760107817,6.88556338,5.282727273,NA,5.141752577,NA
Spain,3,6.610972569,6.329613734,1.516245487,1.340947547,0.909326425,NA,NA,5.594642857,5.562975486,NA
Sweden,3,7.772591857,7.26026026,1.40785169,1.737923947,0.561200924,NA,NA,5.54048583,5.919839679,NA
Sweden,5,7.721556886,7.832832833,1.375763747,1.840978593,NA,6.782696177,3.806352459,NA,6.086781029,3.107429719
Sweden,6,7.620431894,7.694166667,1.377911993,1.865582192,0.448181818,7.605263158,3.129310345,NA,4.991561181,NA
Switzerland,2,8.358571429,7.35982659,NA,1.309891808,NA,NA,NA,NA,NA,NA
Switzerland,3,8.021594684,7.184033613,1.737614679,1.454228422,0.841011743,NA,NA,4.756010686,4.841121495,NA
Switzerland,5,7.905032468,7.522653722,1.305272109,1.45766974,NA,NA,NA,NA,3.633034988,2.791496321
Thailand,6,7.566053512,7.527196653,1.444350759,1.679001721,0.326973114,6.845177665,6.094468085,NA,5.252710592,NA
Thailand,5,7.212793734,6.922018349,1.573913043,1.647097195,NA,6.792810458,6.058207979,NA,7.068448501,2.310863874
Trinidad and Tobago,5,7.26026026,7.882765531,1.423197492,1.157200811,NA,6.320564516,7.826305221,NA,7.183,2.830491474
Trinidad and Tobago,6,7.465931864,8.165156093,NA,1.197543501,0.992957746,6.856399584,6.955271565,NA,6.978636826,NA
Tunisia,6,5.58263773,6.642304385,1.643188137,1.302785265,NA,8.271505376,5.068656716,NA,5.966911765,NA
Turkey,3,6.178947368,4.816834304,1.522727273,1.26496903,0.975460123,NA,NA,5.300053967,5.07212056,NA
Turkey,2,6.405063291,NA,NA,1.266467066,NA,NA,NA,5.668351871,4.580838323,NA
Turkey,5,7.455423477,7.403933434,1.442596991,1.185465556,NA,8.451219512,6.449760766,NA,4.971948446,1.730277986
Turkey,4,5.800294118,5.474536356,1.319732034,1.229216867,0.974526066,NA,NA,NA,4.282634377,NA
Turkey,6,7.272329794,7.408575032,1.481903485,1.175238095,0.99112801,7.91884984,5.968427835,NA,4.517527087,NA
Uganda,4,5.650698603,6.818087318,1.639713408,1.071500504,0.992985972,NA,NA,6.159159159,7.193193193,2.657921292
Ukraine,6,5.898666667,6.546666667,1.587333333,1.344666667,0.886666667,7.772,5.931333333,NA,3.481333333,NA
Ukraine,5,5.808232932,6.085452696,1.456384324,1.206297503,NA,7.200424178,6.375565611,NA,6.88417787,2.532224532
Ukraine,3,3.952791308,5.160924199,1.493447808,1.397000789,0.765250316,NA,NA,4.209507783,6.671367019,NA
Macedonia,3,5.701736466,6.096132597,1.561503417,1.35199005,0.838383838,NA,NA,6.115296804,5.111707841,NA
Macedonia,4,5.123574144,5.766601563,1.583761562,1.163601162,0.904669261,NA,NA,5.469591226,5.311688312,2.022072937
Egypt,5,5.777704918,5.969129721,1.626679777,1.068069714,NA,7.977137177,5.508988016,NA,6.761461794,1.758858268
Egypt,6,5.010505581,6.290216678,1.684832567,NA,NA,8.267235719,4.820748523,NA,4.242941563,NA
Egypt,4,5.357238159,5.470331881,1.485387974,1.013364517,1,NA,NA,NA,8.231666667,NA
Great Britain,3,7.581501832,NA,NA,NA,NA,NA,NA,NA,5.063029163,NA
Great Britain,5,7.552986513,7.254385965,1.414634146,1.615079365,NA,NA,NA,NA,5.41453831,NA
Tanzania,4,3.866375546,5.800173762,1.430656934,1.070207021,0.993109388,NA,NA,NA,4.971351835,2.221340388
United States,3,7.666232073,7.537303665,1.53485064,1.189747004,0.960106383,NA,NA,5.001344086,5.435451505,NA
United States,4,7.663333333,7.982485405,1.447979364,1.178813559,0.959356478,NA,NA,5.655,5.718227425,2.976588629
United States,5,7.261885576,7.690553746,1.457402812,1.283693844,NA,6.902698283,5.796068796,NA,6.184971098,2.712895377
United States,6,7.44133574,7.758401453,1.619266055,1.364711232,0.890149796,7.283865002,5.519311308,NA,5.541058394,NA
Burkina Faso,5,5.570380254,5.704447633,1.502442997,1.1,NA,7.006493506,6.549601738,NA,7.073863636,2.460253841
Uruguay,3,7.134538153,7.02034588,1.442808607,1.539021852,0.858307849,NA,NA,5.420833333,5.149638803,NA
Uruguay,5,7.458207452,7.794450154,1.542759407,1.512537613,NA,6.252024291,6.568647541,NA,5.353439153,2.535078534
Uruguay,6,7.600403633,7.731481481,1.317046688,1.581567797,0.82617801,7.269067797,6.450672646,NA,5.110294118,NA
Uzbekistan,6,7.888144675,7.795081967,1.364932288,1.483274021,0.986666667,8.633934536,5.364855801,NA,4.592182891,NA
Venezuela,4,7.517529215,8.256903766,1.300705467,1.225506757,NA,NA,NA,6.406462585,5.580536913,NA
Venezuela,3,6.722830666,8.012875536,1.699906803,1.153650255,0.990779547,NA,NA,5.42599278,5.557553957,NA
Yemen,6,5.887309645,6.402777778,1.62369338,1.093487395,NA,8.436651584,3.384707288,NA,6.355088496,NA
Serbia and Montenegro,5,6.009361702,6.453478625,1.516567545,1.184912603,NA,7.46419327,7.17641844,NA,6.096638655,2.49277825
Zambia,5,6.058783322,7.200416089,1.640969163,1.109658678,NA,6.594223827,5.476294675,NA,6.228395062,2.735978112
Bosnian Federation,3,5.96375,6.062893082,1.66854725,1.343264249,0.890501319,NA,NA,6.01261034,5.988721805,NA
